Epoch 1, Accuracy: 0.8754142992424242, Loss: 10512.236328125
Epoch 2, Accuracy: 0.8935043797348485, Loss: 9241.4326171875
Epoch 3, Accuracy: 0.9041133996212121, Loss: 8257.45703125
Epoch 4, Accuracy: 0.9137281013257575, Loss: 7373.3232421875
Epoch 5, Accuracy: 0.9221176609848485, Loss: 6734.8544921875
Epoch 6, Accuracy: 0.9277195785984849, Loss: 6193.69873046875
Epoch 7, Accuracy: 0.9337032433712121, Loss: 5591.22900390625
Epoch 8, Accuracy: 0.9385002367424242, Loss: 5413.11767578125
Epoch 9, Accuracy: 0.9421727035984848, Loss: 4916.6708984375
Epoch 10, Accuracy: 0.9453036221590909, Loss: 4607.2578125
Checkpoint saved at epoch 10
Epoch 11, Accuracy: 0.9475822679924243, Loss: 4526.4287109375
Epoch 12, Accuracy: 0.9499260179924243, Loss: 4157.07958984375
Epoch 13, Accuracy: 0.9517400568181819, Loss: 4222.435546875
Epoch 14, Accuracy: 0.9522283380681819, Loss: 4111.72998046875
Epoch 15, Accuracy: 0.9546105587121212, Loss: 3949.947021484375
Epoch 16, Accuracy: 0.956060606060606, Loss: 3851.7939453125
Epoch 17, Accuracy: 0.95732421875, Loss: 3759.389404296875
Epoch 18, Accuracy: 0.9581409801136364, Loss: 3450.416748046875
Epoch 19, Accuracy: 0.9587831439393939, Loss: 3595.10693359375
Epoch 20, Accuracy: 0.9595791903409091, Loss: 3483.271484375
Checkpoint saved at epoch 20
Epoch 21, Accuracy: 0.9598159327651515, Loss: 3568.519775390625
Epoch 22, Accuracy: 0.9614642518939394, Loss: 3486.49609375
Epoch 23, Accuracy: 0.9617572206439394, Loss: 3257.22998046875
Epoch 24, Accuracy: 0.9613813920454546, Loss: 3368.06298828125
Epoch 25, Accuracy: 0.9627101089015152, Loss: 3255.417724609375
Epoch 26, Accuracy: 0.9634469696969697, Loss: 3204.557861328125
Epoch 27, Accuracy: 0.9633108428030303, Loss: 3157.279296875
Epoch 28, Accuracy: 0.9640447443181818, Loss: 3085.7255859375
Epoch 29, Accuracy: 0.964935487689394, Loss: 3099.85546875
Epoch 30, Accuracy: 0.964361387310606, Loss: 3015.956787109375
Checkpoint saved at epoch 30
Epoch 31, Accuracy: 0.9648733428030303, Loss: 3086.564453125
Epoch 32, Accuracy: 0.9650035511363636, Loss: 2963.927490234375
Epoch 33, Accuracy: 0.9651870265151515, Loss: 2894.654296875
Epoch 34, Accuracy: 0.9657344933712121, Loss: 2842.482177734375
Epoch 35, Accuracy: 0.9667554450757576, Loss: 2746.410400390625
Epoch 36, Accuracy: 0.9667347301136363, Loss: 2664.785888671875
Epoch 37, Accuracy: 0.96640625, Loss: 2922.419189453125
Epoch 38, Accuracy: 0.9669744318181818, Loss: 2979.308349609375
Epoch 39, Accuracy: 0.9671164772727273, Loss: 2896.373779296875
Epoch 40, Accuracy: 0.9678977272727273, Loss: 2870.092529296875
Checkpoint saved at epoch 40
Epoch 41, Accuracy: 0.9680900804924243, Loss: 2787.3603515625
Epoch 42, Accuracy: 0.9681078361742425, Loss: 2624.8994140625
Epoch 43, Accuracy: 0.9677408854166667, Loss: 2767.371826171875
Epoch 44, Accuracy: 0.9679983428030303, Loss: 2759.079345703125
Epoch 45, Accuracy: 0.9683061079545454, Loss: 2746.17236328125
Epoch 46, Accuracy: 0.9682114109848485, Loss: 2703.02099609375
Epoch 47, Accuracy: 0.9684659090909091, Loss: 2729.145263671875
Epoch 48, Accuracy: 0.9682735558712121, Loss: 2769.936279296875
Epoch 49, Accuracy: 0.9683652935606061, Loss: 2634.51318359375
Epoch 50, Accuracy: 0.9688861268939394, Loss: 2637.802978515625
Checkpoint saved at epoch 50
Epoch 51, Accuracy: 0.9684777462121212, Loss: 2754.069091796875
Epoch 52, Accuracy: 0.9694187973484848, Loss: 2731.934814453125
Epoch 53, Accuracy: 0.9689098011363636, Loss: 2677.162841796875
Epoch 54, Accuracy: 0.9686375473484848, Loss: 2683.9765625
Epoch 55, Accuracy: 0.969330018939394, Loss: 2691.85546875
Epoch 56, Accuracy: 0.96904296875, Loss: 2640.64892578125
Epoch 57, Accuracy: 0.969048887310606, Loss: 2612.482666015625
Epoch 58, Accuracy: 0.969918915719697, Loss: 2735.68408203125
Epoch 59, Accuracy: 0.9692471590909091, Loss: 2716.257568359375
Epoch 60, Accuracy: 0.9695933948863636, Loss: 2630.585693359375
Checkpoint saved at epoch 60
Epoch 61, Accuracy: 0.9692116477272728, Loss: 2571.724853515625
Epoch 62, Accuracy: 0.9695490056818182, Loss: 2680.1318359375
Epoch 63, Accuracy: 0.9695667613636364, Loss: 2686.679443359375
Epoch 64, Accuracy: 0.9694927793560606, Loss: 2705.911865234375
Epoch 65, Accuracy: 0.9694691051136364, Loss: 2639.0517578125
Epoch 66, Accuracy: 0.9690666429924243, Loss: 2661.37451171875
Epoch 67, Accuracy: 0.9694128787878787, Loss: 2606.5146484375
Epoch 68, Accuracy: 0.9695785984848485, Loss: 2621.530517578125
Epoch 69, Accuracy: 0.9698330965909091, Loss: 2558.4755859375
Epoch 70, Accuracy: 0.9698952414772727, Loss: 2638.9248046875
Checkpoint saved at epoch 70
Epoch 71, Accuracy: 0.9700609611742425, Loss: 2592.413818359375
Epoch 72, Accuracy: 0.9697975852272728, Loss: 2668.023681640625
Epoch 73, Accuracy: 0.9700047348484848, Loss: 2605.648193359375
Epoch 74, Accuracy: 0.9695785984848485, Loss: 2587.50732421875
Epoch 75, Accuracy: 0.9695904356060606, Loss: 2609.20849609375
Epoch 76, Accuracy: 0.9697058475378788, Loss: 2614.718994140625
Epoch 77, Accuracy: 0.9700136126893939, Loss: 2663.760009765625
