Epoch 1, Accuracy: 16.859393491124262, Loss: 90.32633209228516
Epoch 2, Accuracy: 16.85663214990138, Loss: 90.38127136230469
Epoch 3, Accuracy: 16.861932938856015, Loss: 90.19104766845703
Epoch 4, Accuracy: 16.87741617357002, Loss: 90.12982940673828
Epoch 5, Accuracy: 16.855054240631162, Loss: 90.27432250976562
Epoch 6, Accuracy: 16.84181459566075, Loss: 90.08338928222656
Epoch 7, Accuracy: 16.85766765285996, Loss: 89.97464752197266
Epoch 8, Accuracy: 16.88394970414201, Loss: 89.94632720947266
Epoch 9, Accuracy: 16.845882642998028, Loss: 89.69258117675781
Epoch 10, Accuracy: 16.83483727810651, Loss: 89.79642486572266
Checkpoint saved at epoch 10
Epoch 11, Accuracy: 16.85766765285996, Loss: 89.65093994140625
Epoch 12, Accuracy: 16.850936883629192, Loss: 89.4594497680664
Epoch 13, Accuracy: 16.84844674556213, Loss: 89.26113891601562
Epoch 14, Accuracy: 16.841839250493095, Loss: 89.32463073730469
Epoch 15, Accuracy: 16.8461291913215, Loss: 89.09159851074219
Epoch 16, Accuracy: 16.85638560157791, Loss: 89.0361099243164
Epoch 17, Accuracy: 16.855399408284022, Loss: 89.04430389404297
Epoch 18, Accuracy: 16.832815581854042, Loss: 89.01954650878906
Epoch 19, Accuracy: 16.85396942800789, Loss: 88.70399475097656
Epoch 20, Accuracy: 16.824432938856017, Loss: 88.74937438964844
Checkpoint saved at epoch 20
Epoch 21, Accuracy: 16.86252465483235, Loss: 88.77825927734375
Epoch 22, Accuracy: 16.84344181459566, Loss: 88.74788665771484
Epoch 23, Accuracy: 16.85051775147929, Loss: 88.69219970703125
Epoch 24, Accuracy: 16.847830374753453, Loss: 88.63075256347656
Epoch 25, Accuracy: 16.859344181459566, Loss: 88.43640899658203
Epoch 26, Accuracy: 16.84610453648915, Loss: 88.71208190917969
Epoch 27, Accuracy: 16.85490631163708, Loss: 88.59046936035156
Epoch 28, Accuracy: 16.872312623274162, Loss: 88.42312622070312
Epoch 29, Accuracy: 16.84679487179487, Loss: 88.4819564819336
Epoch 30, Accuracy: 16.842283037475344, Loss: 88.42805480957031
Checkpoint saved at epoch 30
Epoch 31, Accuracy: 16.84206114398422, Loss: 88.44010925292969
Epoch 32, Accuracy: 16.828427021696253, Loss: 88.57424926757812
Epoch 33, Accuracy: 16.85463510848126, Loss: 88.51509857177734
Epoch 34, Accuracy: 16.847090729783037, Loss: 88.5256118774414
Epoch 35, Accuracy: 16.871005917159763, Loss: 88.534423828125
Epoch 36, Accuracy: 16.825813609467456, Loss: 88.4599380493164
Epoch 37, Accuracy: 16.83602071005917, Loss: 88.498046875
Epoch 38, Accuracy: 16.861267258382643, Loss: 88.51151275634766
Epoch 39, Accuracy: 16.839694280078895, Loss: 88.40934753417969
Epoch 40, Accuracy: 16.827268244575937, Loss: 88.46033477783203
Checkpoint saved at epoch 40
